"","Day","Temperature.C","Weight.g","Consumption.g"
"1",1,20.15543982,1065.37551247511,11.4458437248274
"2",2,20.00229167,1075.80168053684,11.5156127061258
"3",3,19.79703704,1086.52784558021,11.5779852806287
"4",4,19.96972222,1097.17536681069,11.6945763318853
"5",5,19.745,1108.14493432738,11.7545994458443
"6",6,19.45840278,1119.48383191917,11.8018366209265
"7",7,18.73506944,1131.4956615846,11.7428588206618
"8",8,18.07597222,1143.97258596974,11.6423859377024
"9",9,16.6255787,1156.59741620567,11.0042834401253
"10",10,15.40092593,1168.30247343501,10.014938274726
"11",11,15.3881713,1180.09279303003,10.0821676455915
"12",12,15.58206019,1192.23127048323,10.3733034776247
"13",13,15.83023148,1204.75130812089,10.7099093791185
"14",14,16.31564815,1217.78792990733,11.2340753042886
"15",15,16.63780093,1231.12022783653,11.5797601957585
"16",16,16.12988426,1244.26709359863,11.2715732333287
"17",17,15.34256944,1256.65106971907,10.5518596610063
"18",18,14.39518519,1267.39990234239,9.3451206966426
"19",19,13.87574074,1276.98439376473,8.5698380653971
"20",20,12.93453704,1284.02454140011,6.94700219364256
"21",21,12.76486111,1290.60375319829,6.66633478399885
"22",22,13.82930556,1300.21963890523,8.61586728462241
"23",23,15.04134259,1312.59274577789,10.5455769716142
"24",24,15.71918981,1326.06909439368,11.4513696178071
"25",25,15.26782407,1339.03574610312,11.011467793257
"26",26,13.909375,1349.1792322685,9.01582825843788
"27",27,13.91513889,1359.40483745055,9.08079821242844
"28",28,12.90354167,1366.75122356166,7.24527458206143
"29",29,9.457893519,1365.84255263486,1.99402677548561
"30",30,8.330694444,1363.83559606562,1.16084781901278
"31",31,8.713680556,1362.12504550344,1.39854054575677
"32",32,9.295949074,1361.01454358878,1.84422714111298
"33",33,9.07400463,1359.65308804569,1.65986855615814
"34",34,9.180740741,1358.40935922664,1.74448734130034
"35",35,8.896759259,1356.86971942483,1.52281327227564
"36",36,8.801180556,1355.24166073995,1.45302063416664
"37",37,11.05116667,1357.28642964123,3.92434644155307
"38",38,10.19233333,1357.51798685599,2.75709359462604
"39",39,9.552958333,1356.73800264332,2.07205485511183
"40",40,8.897708333,1355.20030575523,1.52200178062624
"41",41,8.513291667,1353.33368820092,1.26196722067438
"42",42,8.1695,1351.23551160385,1.06384516196645
"43",43,8.169541667,1349.13940084161,1.06254253330402
"44",44,6.574,1346.52798335277,0.47054328350549
"45",45,6.126333333,1343.88974774913,0.372011590721297
"46",46,6.415125,1341.2704139499,0.43186525336031
"47",47,7.035875,1338.74306181627,0.594698020083593
"48",48,7.521791667,1336.35545359176,0.761384830584588
"49",49,8.066083333,1334.21461664411,1.00023342123128
"50",50,8.071833333,1332.0791265172,1.00181749300627
"51",51,8.03725,1329.92695703208,0.983398572025644
"52",52,8.213,1327.87776343306,1.0719582304356
"53",53,8.169958333,1325.80470365324,1.04798533373753
"54",54,9.293458333,1324.70407442134,1.8025314876625
"55",55,9.929416667,1324.47877327514,2.40887543137214
"56",56,9.722208333,1323.93912706132,2.19455055155144
"57",57,10.66766667,1325.07632462182,3.30341057816006
"58",58,9.660583333,1324.44874670271,2.1347412834721
"59",59,9.1,1323.13314583682,1.64412209747627
"60",60,7.849583333,1320.89667195188,0.89025134312754
"61",61,6.326208333,1318.30206442196,0.406631824258714
"62",62,5.969666667,1315.69960562456,0.33692583365356
"63",63,6.626083333,1313.13845174862,0.473795999998207
"64",64,6.9785,1310.63533942106,0.567638216688656
"65",65,7.215791667,1308.18891909223,0.640279142156022
"66",66,7.175958333,1305.73556936071,0.626394269313555
"67",67,6.200291667,1303.15525425597,0.377244889136731
"68",68,5.421541667,1300.59012455756,0.250205581652673
"69",69,4.762041667,1298.08798581071,0.17623199585078
"70",70,3.278583333,1295.81046722876,0.0798630585626183
"71",71,3.067583333,1293.57232870729,0.0712479532313624
"72",72,1.974125,1291.53255889454,0.0396316212071353
"73",73,0.86475,1289.69275600478,0.0218380042431201
"74",74,0.55,1287.90929636823,0.0184240602529154
"75",75,0.667208333,1286.10743565463,0.0195980139057103
"76",76,1.954625,1284.07955651056,0.0390379318925216
"77",77,2.6665,1281.92638727758,0.0570762501821142
"78",78,2.379416667,1279.82699807148,0.0488817520476475
"79",79,1.746333333,1277.84346233863,0.0347785844148693
"80",80,0.743958333,1276.03845840596,0.0202935026347212
"81",81,0.282208333,1274.313746095,0.0158223182566959
"82",82,0.12525,1272.61685701465,0.014528392117262
"83",83,0.570625,1270.84676247405,0.0184307438535379
"84",84,1.768916667,1268.86912749169,0.0350035356156241
"85",85,2.737458333,1266.7216146421,0.0587199207625813
"86",86,2.042916667,1264.69982145553,0.0404324747014629
"87",87,0.546416667,1262.94168714702,0.0181019707892353
"88",88,0.70075,1261.15909278207,0.019642631386739
"89",89,1.571375,1259.22710657363,0.0312943205558093
"90",90,2.543333333,1257.12527922916,0.0526039538442023
"91",91,1.55825,1255.20000458438,0.0309951002206552
